name,source,gender,wikidata,type
Bondgenotenlaan,wikidata,,Q215669,way
Burgemeestersstraat,wikidata,,Q30185,way
Celestijnenlaan,wikidata,,Q1093546,relation+way
Diestsepoort,wikidata,,Q743236,way
Diestsesteenweg,wikidata,,Q743236,way
Diestsestraat,wikidata,,Q743236,way
Diestsevest,wikidata,,Q743236,way
Esperantolaan,wikidata,,Q143,relation
Lepelstraat,wikidata,,Q743236,way
Leuvensestraat,wikidata,,Q118958,way
Minderbroedersstraat,wikidata,,Q165005,relation+way
Naamsepoort,wikidata,,Q134121,way
Naamsesteenweg,wikidata,,Q134121,relation+way
Naamsestraat,wikidata,,Q134121,relation+way
Naamsevest,wikidata,,Q134121,way
Nerviërsstraat,wikidata,,Q756812,way
"Oude Diestsesteenweg",wikidata,,Q743236,way
Parkpoort,wikidata,,Q476178,way
Parkstraat,wikidata,,Q476178,way
Philipssite,wikidata,,Q170416,relation+way
Predikherenberg,wikidata,,Q131479,way
Predikherenstraat,wikidata,,Q131479,way
Predikherinnenstraat,wikidata,,Q131479,way
"Prins De Lignestraat",wikidata,,Q3922015,way
"Romeinse straat",wikidata,,Q194029,way
Savoyestraat,wikidata,,Q14118,way
Tervuursepoort,wikidata,,Q456544,way
Tervuursesteenweg,wikidata,,Q456544,relation+way
Tiensesteenweg,wikidata,,Q456550,relation+way
Tomveldstraat,wikidata,,Q34023,way
Volmolenlaan,wikidata,,Q21045580,way
"'s Meiersstraat",,,,way
's-Hertogenlaan,,,,way
's-Hertogenwijngaard,,,,way
1,,,,way
2,,,,way
3,,,,way
4,,,,way
5,,,,way
6,,,,way
7,,,,way
8,,,,way
9,,,,way
10,,,,way
11,,,,way
12,,,,way
13,,,,way
14,,,,way
Aambeeldstraat,,,,way
Aarschotsesteenweg,,,,way
"Abdij Van Vlierbeek",,,,way
"Abdij van Park",,,,relation
Abdijdreef,,,,way
Abdijstraat,,,,relation+way
Acaciaplein,,,,way
Acaciastraat,,,,way
Acht-meistraat,,,,way
"Achter de latten",,,,way
Achttienaprillaan,,,,way
Achturenstraat,,,,way
"Adjudant Harboortstraat",,,,way
"Adolphe Bastinstraat",,,,way
Alaudastraat,,,,relation
"Alberdingk Thymlaan",,,,way
"Albert Dejonghestraat",,,,way
"Albert Stainierstraat",,,,way
"Albert Woutersstraat",,,,way
"Albrecht Rodenbachstraat",,,,way
Albrechtplein,,,,relation
"Alfons Fierensstraat",,,,way
"Alfons Roelandtsstraat",,,,way
"Alfons Stesselstraat",,,,way
"Alfons Van Geelstraat",,,,way
"Alfons Verbovenstraat",,,,way
Alsembergstraat,,,,relation
Ambachtenlaan,,,,way
Amerikalaan,,,,way
"André Emondstraat",,,,way
